,Scannumber,Timesweep,Status,I0(5.642|4.287),I1(3.256|2.402),conversion,treaction,tres,GPC_number,Mn,Mw,D,tres_GPC,Mn theory
56,56,1,Timesweep,32.861999999999995,54.541000000000004,-0.606387534557673,391,8.3444,,,,,,
57,57,1,Timesweep,32.623000000000005,54.303999999999995,-0.6016643383023694,408,8.5333,,,,,,
58,58,1,Timesweep,33.001,54.556999999999995,-0.6127091478358107,425,8.7222,,,,,,
59,59,1,Timesweep,32.76,53.763999999999996,-0.6245450198378226,442,8.9111,,,,,,
60,60,1,Timesweep,27.855,45.681999999999995,-0.6256890623239766,459,9.1,,,,,,
61,61,1,Timesweep,31.383000000000003,54.733999999999995,-0.5286804074970637,476,9.2889,,,,,,
62,62,1,Timesweep,32.103,55.492,-0.5423916720343118,493,9.4778,,,,,,
63,63,1,Timesweep,31.564,54.778,-0.5362620185563534,510,9.6667,,,,,,
64,64,1,Timesweep,31.171999999999997,54.85,-0.5151912934132661,527,9.8556,,,,,,
65,65,1,Timesweep,32.202,55.336000000000006,-0.5515097655253052,544,10.0444,4,2878.0,4607.0,1.601,10.0,-2428.0
66,66,1,Timesweep,31.809,55.715,-0.5221495083542371,561,10.2333,,,,,,
67,67,1,Timesweep,32.469,55.602,-0.556890003869611,578,10.4222,,,,,,
68,68,1,Timesweep,31.444000000000003,55.09,-0.5217539779581768,595,10.6111,,,,,,
69,69,1,Timesweep,31.022,54.486000000000004,-0.5179738774228735,612,10.8,,,,,,
70,70,1,Timesweep,31.085,54.637,-0.516852867906616,629,10.9889,,,,,,
71,71,1,Timesweep,31.641,54.726000000000006,-0.5414730104244192,646,11.1778,,,,,,
72,72,1,Timesweep,30.552,54.428999999999995,-0.49654134821701423,663,11.3667,,,,,,
73,73,1,Timesweep,31.229,54.763999999999996,-0.52034568680028,680,11.5556,,,,,,
74,74,1,Timesweep,31.135,54.791000000000004,-0.5150224683487936,697,11.7444,,,,,,
75,75,1,Timesweep,31.528000000000002,54.713,-0.5363328750105227,714,11.9333,,,,,,
76,76,1,Timesweep,31.008000000000003,54.961000000000006,-0.504175670526499,720,12.0,5,2862.0,3603.0,1.259,12.0,-2185.0
77,77,1,No,31.28,54.934,-0.5181159797175741,,,,,,,,
78,78,1,No,31.393,54.876000000000005,-0.5252105584926245,,,,,,,,
79,79,1,No,30.603,54.927,-0.48544834198078424,,,,,,,,
80,80,1,No,31.078000000000003,54.812,-0.5116694759374936,,,,,,,,
81,81,1,No,31.764,54.355,-0.5580274957302889,,,,,,,,
82,82,1,No,31.309,54.489,-0.5319330628770302,,,,,,,,
83,83,1,No,31.239,55.104,-0.5114487582721312,,,,,,,,
84,84,1,No,31.229,54.876000000000005,-0.5172427143365137,,,,,,,,
85,85,1,No,31.406,54.86600000000001,-0.5261202593027987,,,,,,,,
86,86,1,No,31.421999999999997,54.61600000000001,-0.5338869935759218,,,,,,,,
87,87,1,No,31.184,54.726000000000006,-0.5192090754740715,,,,,,,,
88,88,1,No,31.256,55.027,-0.5143874168763047,,,,,,,,
89,89,1,No,31.486,55.113,-0.5231506834700224,,,,,,,,
90,90,1,No,30.999000000000002,54.755,-0.5093964745192148,,,,,,,,
91,91,1,No,31.680999999999997,54.863,-0.5395675902534449,,,,,,,,
92,92,1,No,31.179000000000002,54.902,-0.5140961216794571,,,,,,,,
93,93,1,No,31.094,54.25899999999999,-0.5278623861354079,,,,,,,,
94,94,1,No,31.096999999999998,54.635,-0.5174939793994722,,,,,,,,
95,95,2,No,31.478,54.457,-0.5411071978068152,,,,,,,,
96,96,2,No,31.526,54.996,-0.528330212264007,,,,,,,,
97,97,2,No,30.844,54.742,-0.5022059042763538,,,,,,,,
98,98,2,No,31.525,55.11,-0.5251203454052191,,,,,,,,
99,99,2,No,31.195999999999998,54.994,-0.5123873383472821,,,,,,,,
100,100,2,No,31.255,54.876999999999995,-0.5184782380608035,,,,,,,,
101,101,2,No,31.225,54.809,-0.5189028575301817,,,,,,,,
102,102,2,No,30.307,54.36600000000001,-0.48626071509081825,,,,,,,,
103,103,2,No,29.076999999999998,49.458999999999996,-0.5674139068177051,,,,,,,,
104,104,2,No,31.416999999999998,54.948,-0.5243765277934422,,,,,,,,
105,105,2,No,30.763,54.581,-0.5026804203354738,,,,,,,,
106,106,2,No,31.346999999999998,54.286,-0.5395279291514403,,,,,,,,
107,107,2,No,31.515,54.867,-0.5313890143690128,,,,,,,,
108,108,2,No,31.464000000000002,54.757,-0.5319821943041063,,,,,,,,
109,109,2,No,31.612,54.872,-0.5359625042860747,,,,,,,,
110,110,2,No,31.168000000000003,55.244,-0.5041919117036937,,,,,,,,
111,111,2,No,31.006,54.601000000000006,-0.5139954724460631,,,,,,,,
112,112,2,No,31.421999999999997,54.663000000000004,-0.5325681364202943,,,,,,,,
113,113,2,No,31.154,55.032,-0.5093082626963048,,,,,,,,
114,114,2,No,30.86,54.755,-0.5026283171606492,,,,,,,,
115,115,2,No,31.796,54.849,-0.5455505172180029,,,,,,,,
